Component Description,Quantity per FUNGI-TUBE Unit,Est. $ per Component,Est. $ per FUNGI-TUBE Unit,Reference Link
Capacitive Moisture Sensor v2.0 (EC1691075),1, $ 2.60 , $ 2.60 ,https://www.amazon.com/Analog-Capacitive-Soil-Moisture-Sensor/dp/B09NTTR8M9/ref=sr_1_5?crid=1RBABWJ99OGBL&dib=eyJ2IjoiMSJ9.9IR3ozVRntgCaVDI4vyOcJ1aD_mat8O1wb0cBpHtRipH-11yvbCX2s6hWG_fPezXtyswHa9tGMpDYCXMpt4wa3NBGx_DmDvQ3NH45w-3bG6quVLcowQPc8WF2ZkM0PlqnPQghvNW7KGoJXwRR3T2wpd0xavaTQDtQ1JBiEtyxXqu0LiFSXovGpZTl89X8cw7tI3STaGwo1h4X4CyuR6b_xdgV32zXjPmiu_HblYN5VqAbbWe5N4zgD93ZLYWlTlgHCeefeUpJ1UFmAOVdEHTCbqByyTdLuUKgs-eQOM0IOo.jggJRSRqoNZuORanJ93v1qkTP8J_y4sZcEfBL7Yef7U&dib_tag=se&keywords=capacitance%2Bsoil%2Bmoisture%2Bsensor%2Bv2&qid=1744582475&sprefix=capacitance%2Bsoil%2Bmoisture%2Bsensor%2Bv2%2Caps%2C121&sr=8-5&th=1
ESP32-WROOM-32 38 pin Dev Board,1, $ 6.00 , $ 6.00 ,https://www.amazon.com/dp/B07QCP2451?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Adafruit TCA9548A/PCA9548A I2C Multiplexer,1, $ 1.10 , $ 1.10 ,https://www.amazon.com/Aobao-TCA9548A-Multiplexer-Breakout-Expansion/dp/B09KY1YNM9/ref=sr_1_3?crid=17MJ8PGAH9YFE&dib=eyJ2IjoiMSJ9.mfvX7xBYue__S608lwqwTQQb0TalU2kL4Z511X8XTVv7qGmzinrdGNOJl3O_2SwDbpp26AXYMRUGXdVXpL4oOBrc3DfFezVsgPVBoArOoWYKquOq7EE150q6HCf4YVrOXCUWp0FgAUbb8cHDBweEI5ePNwleuMTOLIutI6v8KOYHzSnxb0Wlht8sSwD26_qZ.HxekTx8EQIwcaB5NWYyUjGt7tkxH-nOSOmX_W4TWlT0&dib_tag=se&keywords=PCA9548A&qid=1748174958&s=electronics&sprefix=pca9548a%2Celectronics%2C102&sr=1-3
Copper Foil (Capacitive Sensor Shielding),1, $ 0.10 , $ 0.10 ,https://www.amazon.com/dp/B01MR5DSCM?ref_=ppx_hzsearch_conn_dt_b_fed_asin_title_1
MLX90614 IR Temp Sensor (HiLetgo),1, $ 10.99 , $ 10.99 ,https://www.amazon.com/HiLetgo-MLX90614ESF-Non-contact-Infrared-Temperature/dp/B071VF2RWM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.0XATqGnHc_DRuvefbwXLGJVakaOLNZktYzeqh-9r-p116ZBdlO4IPQ6SamxYsmT43g0-85esR7iUAz_SAGXR-OqUSQm1yClqntV412IC9Zz9TwnO2at-aNMG2HYgDkXrMOj59CmnsN2vVuhazEUqGMc9-WAG1uFjykuOtRUYFRY4L_CFctHtqFIr-i8lS_lDYevyu2bfkpV3WAWBpi313vJAVP75l_cuYOLgvoINbhs.UhEGQ8nDaK1KmdsehP99KF4c37Lbn5ayVuzz2K3hZXg&dib_tag=se&keywords=MLX90614+IR+Temp+Sensor+%28HiLetgo%29&qid=1744583108&sr=8-1
TCS34725 RGB Color Sensor (Teyleten),1, $ 3.33 , $ 3.33 ,https://www.amazon.com/Teyleten-Robot-TCS-34725-TCS34725-Recognition/dp/B087Z3K6P5/ref=sr_1_1_sspa?crid=1K0B5IYU5562S&dib=eyJ2IjoiMSJ9.cBQ7gOr8kGYFvKDKJ5EUwpzFV6lelEV7flgLD-M7_TPERDR2obOe11YR4Mb4yvE3whee2myz_SluvKrDv7J_U0fSB5wQ6qP_Kj29YWe5asaiW6-sw62VXnPHbdhr61T0t9b83zbK9w6dCMR9KYzGw1Zq2qka5xi0Y3Ur5t16IXWdsv9d4pDnliD_hYS6zTgbAtbxl3yS8s5c1OrHrrIrJSs7KZFwxSq06Regy2EVIlM.tOaR0f2cRkySEB6WCZ2Bx5bnsOHx9NMTDD9XU0fyVJ0&dib_tag=se&keywords=TCS34725+RGB+Color+Sensor+%28Teyleten%29&qid=1744583135&sprefix=tcs34725+rgb+color+sensor+teyleten+%2Caps%2C125&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
"Logic Level Converter (TXS0108E, HiLetgo)",1, $ 0.75 , $ 0.75 ,https://www.amazon.com/HiLetgo-Channels-Converter-Bi-Directional-3-3V-5V/dp/B07F7W91LC/ref=sr_1_2?crid=2AE2CLQY65JM7&dib=eyJ2IjoiMSJ9.iTEhS0wypHYdS2PYEkfykIN0R1T3OP-xmV8DT1-WjATlgbM57Zl5UZIAb9XAPU4YCJhVI26I9_Q-eLaqkyW8JPH0VvJoFfuP15xTDSGxQHPP33GpiAWPB61CmB_SrlIhV11c0Iecd8mq0VvsGShJAYZyMpcmw2fw0G7Gwsp942lbE315RgRGNATd-Lw0j76E57ClHVAUQcbJuO28z4sri8LttJzR9WBtn_wPQ9phzN4.Ry_H_Cl4X_Zs1McQqedgpZ2fdNgRszBiBhFFZ38Hh9Y&dib_tag=se&keywords=Logic+Level+Converter+%28TXS0108E%2C+HiLetgo%29&qid=1744583204&sprefix=logic+level+converter+txs0108e%2C+hiletgo+%2Caps%2C105&sr=8-2
Resistor - 4.7kΩ 0.1W SMD chip resistor 0603mil (I2C Pull-up),2, $ 0.06 , $ 0.12 ,https://www.amazon.com/dp/B08QS36KCT?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
5mm Through-Hole LED,1, $ 0.02 , $ 0.02 ,https://www.amazon.com/Transparent-Intensity-Lighting-Electronics-Components/dp/B01AUI4VQU/ref=sr_1_2?crid=1OJN63EYKGLX2&dib=eyJ2IjoiMSJ9.YKmyMP8R8eTkAj3oI68c4OSmuXfEiZZDcMDY_JrlasF6HEKNXmnf7nKMIrO8LLWGdywKahiee_7RQTwaSWdUzw_PEhEKSoqwdcCowMFkrEzfVNMXlIUiLR7f2hsX2ILzPPBE6YTQVqelFWMiYvLACaIawl3wx2XKEpfLd3jYPpsj5ILxViev5rx-1oi7DGc9a7ikrWB97_LhR-JC7X3L3vOd3T-R2yoBYRd0fveb206Qd-BeQ75EWT3YqsAxDGvQhtvjNl_iM2mtk350JKOzCiWoMhjsUGYW9w7tKRND7I0.kJhYgkw5bqpbNcbGovYR6VMcIG_A2Y8nKjEFisLlr1M&dib_tag=se&keywords=5mm%2Bthrough%2Bhole%2Bled&qid=1748174728&s=industrial&sprefix=5mm%2Bthrough%2Bhole%2Ble%2Cindustrial%2C104&sr=1-2&th=1
ADS1115 Analogue-Digital Converter (HiLetgo),1, $ 4.00 , $ 4.00 ,https://www.amazon.com/dp/B07VPFLSMX?ref=ppx_yo2ov_dt_b_fed_asin_title
